% Edge sensor logfile log_20240301_171536.564/log_edge.txt
% 	Calib white 198 345 561 652 714 726 681 594
% 	Calib black 106 125 123 105 109 117 111 105
% 	White threshold (of 1000) 700 
% 1 	Time (sec)
% 2 	Edge valid
% 3 	Left edge position(m)
% 4 	Right edge position (m)
% 5 	Line width (m)
1709309739.5507 1 0.048 0.011 0.0371
1709309739.5591 1 0.048 0.012 0.0364
1709309739.5664 1 0.048 0.011 0.0373
1709309739.5756 1 0.048 0.010 0.0381
1709309739.5837 1 0.048 0.011 0.0374
1709309739.5913 1 0.048 0.009 0.0388
1709309739.5993 1 0.048 0.008 0.0397
1709309739.6065 1 0.048 0.009 0.0391
1709309739.6147 1 0.048 0.008 0.0399
1709309739.6226 1 0.048 0.007 0.0408
1709309739.6308 1 0.048 0.007 0.0407
1709309739.6399 1 0.048 0.007 0.0407
1709309739.6464 1 0.048 0.006 0.0417
1709309739.6547 1 0.048 0.006 0.0424
1709309739.6631 1 0.048 0.006 0.0421
1709309739.6708 1 0.048 0.005 0.0429
1709309739.6792 1 0.048 0.004 0.0438
1709309739.6865 1 0.048 0.004 0.0441
1709309739.6950 1 0.048 0.003 0.0447
1709309739.7032 1 0.048 0.003 0.0449
1709309739.7104 1 0.048 0.003 0.0449
1709309739.7193 1 0.048 0.002 0.0461
1709309739.7269 1 0.048 0.002 0.0455
1709309739.7352 1 0.046 0.002 0.0440
1709309739.7428 1 0.045 0.003 0.0427
1709309739.7512 1 0.045 0.002 0.0433
1709309739.7587 1 0.044 0.002 0.0419
1709309739.7674 1 0.042 0.001 0.0406
1709309739.7745 1 0.041 0.001 0.0397
1709309739.7828 1 0.040 0.001 0.0394
1709309739.7905 1 0.038 0.000 0.0379
1709309739.7989 1 0.037 -0.000 0.0371
1709309739.8067 1 0.036 -0.000 0.0360
1709309739.8151 1 0.034 -0.000 0.0346
1709309739.8225 1 0.035 -0.001 0.0356
1709309739.8308 1 0.033 -0.001 0.0341
1709309739.8392 1 0.032 -0.001 0.0325
1709309739.8475 1 0.032 -0.001 0.0336
1709309739.8545 1 0.031 -0.002 0.0330
1709309739.8633 1 0.030 -0.002 0.0324
1709309739.8706 1 0.030 -0.003 0.0338
1709309739.8790 1 0.030 -0.004 0.0342
1709309739.8871 1 0.030 -0.004 0.0342
1709309739.8951 1 0.030 -0.004 0.0340
1709309739.9025 1 0.029 -0.004 0.0330
1709309739.9105 1 0.029 -0.004 0.0329
1709309739.9188 1 0.029 -0.004 0.0333
1709309739.9272 1 0.029 -0.004 0.0325
1709309739.9353 1 0.028 -0.004 0.0322
1709309739.9442 1 0.027 -0.004 0.0307
1709309739.9505 1 0.027 -0.004 0.0312
1709309739.9583 1 0.027 -0.004 0.0307
1709309739.9673 1 0.028 -0.004 0.0312
1709309739.9744 1 0.029 -0.004 0.0330
1709309739.9824 1 0.028 -0.003 0.0315
1709309739.9911 1 0.028 -0.003 0.0316
1709309739.9993 1 0.028 -0.004 0.0323
1709309740.0071 1 0.028 -0.004 0.0319
1709309740.0153 1 0.028 -0.004 0.0319
1709309740.0225 1 0.028 -0.004 0.0328
1709309740.0303 1 0.029 -0.005 0.0336
1709309740.0390 1 0.029 -0.005 0.0343
1709309740.0465 1 0.030 -0.005 0.0349
1709309740.0544 1 0.030 -0.004 0.0336
1709309740.0632 1 0.030 -0.003 0.0330
1709309740.0704 1 0.030 -0.003 0.0328
1709309740.0793 1 0.030 -0.002 0.0319
1709309740.0865 1 0.029 -0.002 0.0309
1709309740.0945 1 0.030 -0.002 0.0324
1709309740.1027 1 0.031 -0.002 0.0323
1709309740.1116 1 0.031 -0.002 0.0324
1709309740.1190 1 0.032 -0.002 0.0333
1709309740.1264 1 0.032 -0.001 0.0334
1709309740.1350 1 0.033 -0.001 0.0340
1709309740.1433 1 0.033 -0.001 0.0337
1709309740.1504 1 0.033 -0.001 0.0338
1709309740.1587 1 0.035 -0.000 0.0350
1709309740.1666 1 0.036 -0.000 0.0359
1709309740.1746 1 0.036 -0.000 0.0368
1709309740.1829 1 0.037 -0.000 0.0371
1709309740.1908 1 0.037 0.000 0.0363
1709309740.1987 1 0.039 0.000 0.0387
1709309740.2069 1 0.041 0.001 0.0403
1709309740.2149 1 0.043 0.001 0.0424
1709309740.2227 1 0.044 0.000 0.0439
1709309740.2310 1 0.045 0.001 0.0439
1709309740.2399 1 0.045 0.001 0.0440
1709309740.2470 1 0.046 0.001 0.0450
1709309740.2543 1 0.046 0.002 0.0444
1709309740.2627 1 0.047 0.002 0.0448
1709309740.2712 1 0.047 0.002 0.0455
1709309740.2788 1 0.047 0.002 0.0448
1709309740.2873 1 0.047 0.002 0.0448
1709309740.2949 1 0.047 0.002 0.0452
1709309740.3038 1 0.048 0.003 0.0449
1709309740.3111 1 0.048 0.003 0.0446
1709309740.3201 1 0.048 0.003 0.0451
1709309740.3273 1 0.048 0.003 0.0450
1709309740.3346 1 0.048 0.004 0.0445
1709309740.3433 1 0.048 0.004 0.0444
1709309740.3505 1 0.048 0.004 0.0445
1709309740.3592 1 0.048 0.004 0.0443
1709309740.3673 1 0.048 0.004 0.0440
1709309740.3745 1 0.048 0.004 0.0442
1709309740.3828 1 0.048 0.004 0.0437
1709309740.3913 1 0.048 0.004 0.0439
1709309740.3993 1 0.048 0.004 0.0437
1709309740.4065 1 0.048 0.005 0.0433
1709309740.4153 1 0.048 0.005 0.0434
1709309740.4225 1 0.048 0.005 0.0435
1709309740.4307 1 0.048 0.005 0.0432
1709309740.4390 1 0.048 0.005 0.0433
1709309740.4472 1 0.048 0.005 0.0428
1709309740.4544 1 0.048 0.006 0.0420
1709309740.4632 1 0.048 0.007 0.0410
1709309740.4712 1 0.048 0.007 0.0413
1709309740.4794 1 0.048 0.007 0.0412
1709309740.4872 1 0.048 0.007 0.0412
1709309740.4950 1 0.048 0.007 0.0412
1709309740.5033 1 0.048 0.007 0.0407
1709309740.5111 1 0.048 0.007 0.0409
1709309740.5193 1 0.048 0.007 0.0411
1709309740.5266 1 0.048 0.007 0.0408
1709309740.5345 1 0.048 0.008 0.0404
1709309740.5424 1 0.048 0.008 0.0404
1709309740.5507 1 0.048 0.007 0.0407
1709309740.5591 1 0.048 0.008 0.0402
1709309740.5664 1 0.048 0.008 0.0398
1709309740.5746 1 0.048 0.008 0.0402
1709309740.5825 1 0.048 0.008 0.0399
1709309740.5906 1 0.048 0.009 0.0395
1709309740.5994 1 0.048 0.007 0.0405
1709309740.6064 1 0.048 0.008 0.0401
1709309740.6146 1 0.048 0.008 0.0401
1709309740.6227 1 0.048 0.007 0.0408
1709309740.6304 1 0.048 0.007 0.0408
1709309740.6392 1 0.048 0.007 0.0410
1709309740.6464 1 0.048 0.007 0.0412
1709309740.6552 1 0.048 0.007 0.0409
1709309740.6633 1 0.048 0.007 0.0411
1709309740.6704 1 0.048 0.006 0.0419
1709309740.6794 1 0.048 0.007 0.0409
1709309740.6865 1 0.048 0.007 0.0410
1709309740.6944 1 0.048 0.007 0.0415
1709309740.7032 1 0.048 0.006 0.0417
1709309740.7113 1 0.048 0.007 0.0413
1709309740.7186 1 0.048 0.006 0.0418
1709309740.7264 1 0.048 0.006 0.0417
