% Edge sensor logfile normalized 'log_20240301_170042.319/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709308845.1289 0 936 1000 921 292 0 0 0  0.0446
1709308845.1367 0 850 1000 925 315 0 0 0  0.0436
1709308845.1449 0 781 1000 978 368 0 0 0  0.0439
1709308845.1535 0 736 1000 1000 391 0 0 0  0.0436
1709308845.1606 0 627 1000 1000 414 0 0 0  0.0397
1709308845.1688 0 540 1000 1000 446 0 0 0  0.0376
1709308845.1776 0 481 1000 1000 499 0 0 0  0.0373
1709308845.1854 0 377 1000 1000 530 0 0 0  0.0363
1709308845.1933 0 245 952 1000 583 14 0 0  0.0356
1709308845.2011 0 109 899 1000 636 26 0 0  0.0356
1709308845.2092 0 72 849 1000 654 60 0 0  0.0353
1709308845.2175 0 9 837 1000 677 83 0 0  0.0359
1709308845.2251 0 0 799 1000 712 114 0 0  0.0368
1709308845.2339 0 0 712 1000 727 136 0 0  0.0354
1709308845.2408 0 0 689 1000 771 170 0 0  0.0357
1709308845.2495 0 0 664 1000 818 223 0 0  0.0358
1709308845.2577 0 0 614 1000 819 247 0 0  0.0340
1709308845.2647 0 0 575 1000 821 266 0 0  0.0330
1709308845.2727 0 0 561 1000 818 252 0 0  0.0324
1709308845.2819 0 0 541 1000 828 241 0 0  0.0321
1709308845.2889 0 0 493 1000 818 249 0 0  0.0308
1709308845.2966 0 0 472 1000 833 243 0 0  0.0307
1709308845.3049 0 0 470 1000 854 282 0 0  0.0315
1709308845.3132 0 0 442 987 828 262 0 0  0.0300
1709308845.3211 0 0 429 985 824 246 0 0  0.0296
1709308845.3292 0 0 424 1000 842 270 0 0  0.0303
1709308845.3372 0 0 406 972 824 254 0 0  0.0291
1709308845.3449 0 0 417 981 821 262 0 0  0.0294
1709308845.3530 0 0 440 1000 841 259 0 0  0.0305
1709308845.3613 0 0 422 985 808 243 0 0  0.0291
1709308845.3692 0 0 449 1000 808 249 0 0  0.0298
1709308845.3772 0 0 461 1000 816 244 0 0  0.0302
1709308845.3847 0 0 424 974 785 233 0 0  0.0283
1709308845.3935 0 0 468 1000 804 249 0 0  0.0300
1709308845.4007 0 0 504 1000 816 231 0 0  0.0309
1709308845.4090 0 0 515 1000 778 203 0 0  0.0301
1709308845.4176 0 0 566 1000 775 200 0 0  0.0312
