% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1709309485.7776 6089 6350 16 17
1709309485.7864 6107 6362 18 12
1709309485.7931 6126 6373 19 11
1709309485.8011 6142 6388 16 15
1709309485.8104 6157 6401 15 13
1709309485.8170 6176 6415 19 14
1709309485.8250 6196 6429 20 14
1709309485.8342 6211 6439 15 10
1709309485.8409 6229 6447 18 8
1709309485.8493 6248 6463 19 16
1709309485.8584 6267 6475 19 12
1709309485.8650 6285 6488 18 13
1709309485.8731 6305 6499 20 11
1709309485.8818 6325 6510 20 11
1709309485.8895 6346 6522 21 12
1709309485.8971 6364 6531 18 9
1709309485.9063 6382 6542 18 11
1709309485.9128 6401 6554 19 12
1709309485.9216 6422 6567 21 13
1709309485.9294 6440 6575 18 8
1709309485.9371 6457 6587 17 12
1709309485.9453 6475 6600 18 13
1709309485.9546 6495 6616 20 16
1709309485.9612 6520 6629 25 13
1709309485.9691 6539 6641 19 12
1709309485.9781 6555 6649 16 8
1709309485.9857 6572 6659 17 10
1709309485.9936 6595 6677 23 18
1709309486.0019 6618 6691 23 14
1709309486.0095 6637 6704 19 13
1709309486.0171 6653 6716 16 12
1709309486.0262 6672 6729 19 13
1709309486.0327 6694 6741 22 12
1709309486.0416 6715 6754 21 13
1709309486.0503 6730 6767 15 13
1709309486.0577 6746 6782 16 15
1709309486.0656 6767 6795 21 13
1709309486.0734 6785 6810 18 15
1709309486.0811 6800 6824 15 14
1709309486.0889 6817 6838 17 14
1709309486.0986 6832 6850 15 12
1709309486.1057 6850 6867 18 17
1709309486.1135 6870 6882 20 15
1709309486.1213 6886 6895 16 13
1709309486.1294 6899 6909 13 14
1709309486.1373 6914 6927 15 18
1709309486.1471 6927 6941 13 14
1709309486.1533 6941 6955 14 14
1709309486.1611 6956 6972 15 17
1709309486.1700 6972 6990 16 18
1709309486.1777 6988 7004 16 14
1709309486.1857 6999 7024 11 20
1709309486.1936 7012 7045 13 21
1709309486.2009 7027 7060 15 15
1709309486.2091 7042 7077 15 17
1709309486.2182 7053 7096 11 19
1709309486.2249 7062 7119 9 23
1709309486.2332 7073 7135 11 16
1709309486.2419 7089 7147 16 12
1709309486.2491 7107 7166 18 19
1709309486.2570 7120 7189 13 23
1709309486.2659 7130 7206 10 17
1709309486.2735 7140 7222 10 16
1709309486.2812 7153 7238 13 16
1709309486.2902 7167 7254 14 16
1709309486.2974 7178 7280 11 26
1709309486.3052 7191 7298 13 18
1709309486.3144 7202 7313 11 15
1709309486.3209 7214 7331 12 18
1709309486.3296 7227 7360 13 29
1709309486.3374 7236 7380 9 20
1709309486.3450 7246 7397 10 17
1709309486.3534 7259 7417 13 20
1709309486.3623 7274 7435 15 18
1709309486.3688 7287 7457 13 22
1709309486.3776 7298 7475 11 18
1709309486.3854 7307 7488 9 13
1709309486.3934 7320 7507 13 19
1709309486.4014 7336 7530 16 23
1709309486.4094 7350 7546 14 16
1709309486.4173 7360 7567 10 21
1709309486.4251 7372 7583 12 16
1709309486.4342 7389 7604 17 21
1709309486.4407 7405 7626 16 22
1709309486.4488 7418 7642 13 16
1709309486.4581 7429 7654 11 12
1709309486.4657 7441 7670 12 16
1709309486.4729 7459 7689 18 19
1709309486.4819 7476 7707 17 18
1709309486.4895 7489 7727 13 20
1709309486.4969 7501 7743 12 16
1709309486.5066 7515 7753 14 10
1709309486.5133 7530 7769 15 16
1709309486.5213 7548 7785 18 16
1709309486.5294 7564 7800 16 15
1709309486.5372 7578 7814 14 14
1709309486.5453 7594 7826 16 12
1709309486.5533 7611 7842 17 16
1709309486.5613 7628 7857 17 15
1709309486.5695 7643 7873 15 16
1709309486.5777 7657 7886 14 13
1709309486.5848 7674 7902 17 16
1709309486.5929 7692 7911 18 9
1709309486.6021 7705 7922 13 11
1709309486.6088 7724 7941 19 19
1709309486.6168 7743 7958 19 17
1709309486.6258 7759 7966 16 8
1709309486.6335 7775 7975 16 9
1709309486.6415 7795 7989 20 14
1709309486.6503 7814 8007 19 18
1709309486.6569 7833 8018 19 11
1709309486.6648 7852 8030 19 12
1709309486.6738 7867 8040 15 10
1709309486.6809 7888 8055 21 15
1709309486.6890 7909 8069 21 14
1709309486.6981 7929 8078 20 9
1709309486.7047 7950 8087 21 9
1709309486.7137 7971 8098 21 11
1709309486.7215 7987 8110 16 12
1709309486.7291 8007 8124 20 14
1709309486.7369 8028 8136 21 12
1709309486.7464 8047 8149 19 13
1709309486.7528 8064 8162 17 13
1709309486.7607 8085 8174 21 12
1709309486.7698 8103 8181 18 7
1709309486.7775 8122 8197 19 16
1709309486.7856 8143 8215 21 18
1709309486.7934 8162 8227 19 12
1709309486.8007 8178 8239 16 12
1709309486.8097 8194 8251 16 12
1709309486.8174 8211 8264 17 13
1709309486.8249 8233 8281 22 17
1709309486.8327 8253 8295 20 14
1709309486.8422 8268 8307 15 12
1709309486.8494 8283 8319 15 12
1709309486.8574 8302 8337 19 18
1709309486.8667 8322 8352 20 15
1709309486.8732 8341 8363 19 11
1709309486.8810 8359 8374 18 11
1709309486.8901 8374 8389 15 15
1709309486.8974 8387 8405 13 16
1709309486.9052 8406 8418 19 13
1709309486.9140 8423 8432 17 14
1709309486.9216 8439 8449 16 17
1709309486.9294 8456 8465 17 16
1709309486.9383 8470 8481 14 16
1709309486.9448 8484 8497 14 16
1709309486.9532 8501 8510 17 13
1709309486.9617 8515 8523 14 13
1709309486.9694 8529 8537 14 14
1709309486.9774 8545 8561 16 24
1709309486.9863 8562 8576 17 15
1709309486.9929 8577 8590 15 14
1709309487.0012 8590 8606 13 16
1709309487.0100 8603 8624 13 18
1709309487.0177 8617 8643 14 19
1709309487.0255 8634 8659 17 16
1709309487.0334 8648 8676 14 17
1709309487.0410 8659 8696 11 20
1709309487.0494 8673 8710 14 14
1709309487.0574 8690 8732 17 22
1709309487.0652 8706 8746 16 14
1709309487.0732 8718 8759 12 13
1709309487.0821 8732 8781 14 22
1709309487.0892 8745 8801 13 20
1709309487.0972 8758 8821 13 20
1709309487.1065 8770 8838 12 17
1709309487.1134 8781 8858 11 20
1709309487.1208 8794 8879 13 21
1709309487.1300 8808 8893 14 14
1709309487.1376 8819 8909 11 16
1709309487.1454 8831 8932 12 23
1709309487.1541 8839 8952 8 20
1709309487.1617 8852 8971 13 19
1709309487.1696 8866 8987 14 16
1709309487.1774 8880 9007 14 20
1709309487.1850 8893 9027 13 20
1709309487.1928 8902 9044 9 17
1709309487.2014 8915 9063 13 19
1709309487.2090 8928 9082 13 19
1709309487.2169 8941 9102 13 20
1709309487.2272 8954 9121 13 19
1709309487.2328 8969 9138 15 17
1709309487.2416 8982 9160 13 22
1709309487.2501 8992 9179 10 19
1709309487.2577 9004 9196 12 17
1709309487.2655 9015 9214 11 18
1709309487.2743 9031 9231 16 17
1709309487.2808 9045 9250 14 19
1709309487.2896 9057 9269 12 19
1709309487.2985 9069 9281 12 12
1709309487.3050 9085 9295 16 14
1709309487.3129 9102 9315 17 20
1709309487.3216 9113 9333 11 18
1709309487.3292 9125 9347 12 14
1709309487.3371 9139 9364 14 17
1709309487.3461 9159 9381 20 17
1709309487.3533 9174 9398 15 17
1709309487.3610 9190 9410 16 12
1709309487.3701 9204 9425 14 15
1709309487.3768 9221 9439 17 14
1709309487.3847 9238 9456 17 17
1709309487.3937 9254 9471 16 15
1709309487.4011 9269 9482 15 11
1709309487.4089 9285 9498 16 16
1709309487.4181 9301 9515 16 17
1709309487.4248 9319 9528 18 13
1709309487.4327 9336 9541 17 13
1709309487.4422 9350 9554 14 13
1709309487.4495 9363 9567 13 13
1709309487.4570 9381 9581 18 14
1709309487.4660 9400 9599 19 18
1709309487.4737 9421 9610 21 11
1709309487.4816 9439 9622 18 12
1709309487.4896 9456 9637 17 15
1709309487.4971 9474 9651 18 14
1709309487.5055 9492 9662 18 11
1709309487.5135 9512 9673 20 11
1709309487.5212 9531 9688 19 15
1709309487.5291 9548 9701 17 13
1709309487.5382 9565 9714 17 13
1709309487.5447 9585 9723 20 9
1709309487.5535 9605 9735 20 12
1709309487.5614 9622 9747 17 12
1709309487.5691 9645 9760 23 13
1709309487.5774 9667 9775 22 15
1709309487.5874 9683 9785 16 10
1709309487.5929 9700 9797 17 12
1709309487.6017 9720 9811 20 14
1709309487.6098 9736 9826 16 15
1709309487.6176 9757 9841 21 15
1709309487.6248 9775 9853 18 12
1709309487.6339 9793 9863 18 10
1709309487.6407 9815 9875 22 12
1709309487.6493 9831 9892 16 17
1709309487.6584 9845 9906 14 14
1709309487.6653 9865 9918 20 12
1709309487.6733 9887 9930 22 12
1709309487.6814 9900 9946 13 16
1709309487.6892 9916 9962 16 16
1709309487.6967 9934 9972 18 10
1709309487.7058 9953 9985 19 13
1709309487.7135 9967 10002 14 17
1709309487.7214 9983 10019 16 17
1709309487.7304 10002 10033 19 14
1709309487.7370 10019 10043 17 10
1709309487.7448 10034 10056 15 13
1709309487.7545 10048 10073 14 17
1709309487.7610 10064 10091 16 18
1709309487.7698 10079 10108 15 17
1709309487.7777 10095 10117 16 9
1709309487.7853 10113 10131 18 14
1709309487.7931 10128 10154 15 23
1709309487.8015 10140 10171 12 17
1709309487.8092 10153 10182 13 11
1709309487.8172 10170 10198 17 16
1709309487.8263 10182 10215 12 17
1709309487.8329 10196 10231 14 16
1709309487.8408 10209 10247 13 16
1709309487.8494 10225 10265 16 18
1709309487.8568 10239 10284 14 19
1709309487.8648 10252 10305 13 21
1709309487.8738 10267 10324 15 19
1709309487.8817 10280 10339 13 15
1709309487.8889 10294 10360 14 21
1709309487.8984 10308 10380 14 20
1709309487.9054 10324 10397 16 17
1709309487.9137 10336 10414 12 17
