% Mission PlanIRTEST logfile
% 1 	Time (sec)
% 2 	Mission state
% 3 	% Mission status (mostly for debug)
1709308528.4960 1 % No Line
1709308528.5003 1 % No Line
1709308528.5045 1 % No Line
1709308528.5089 1 % No Line
1709308528.5131 1 % No Line
1709308528.5175 1 % No Line
1709308528.5220 1 % No Line
1709308528.5264 1 % No Line
1709308528.5310 1 % No Line
1709308528.5354 1 % No Line
1709308528.5399 1 % No Line
1709308528.5442 1 % No Line
1709308528.5485 1 % No Line
1709308528.5528 1 % No Line
1709308528.5571 1 % No Line
1709308528.5612 1 % No Line
1709308528.5658 1 % No Line
1709308528.5705 1 % No Line
1709308528.5746 1 % No Line
1709308528.5788 1 % No Line
1709308528.5830 1 % No Line
1709308528.5874 1 % No Line
1709308528.5920 1 % No Line
1709308528.5963 1 % No Line
1709308528.6006 1 % No Line
1709308528.6050 1 % No Line
1709308528.6096 1 % No Line
1709308528.6140 1 % No Line
1709308528.6183 1 % No Line
1709308528.6226 1 % No Line
1709308528.6273 1 % No Line
1709308528.6317 1 % No Line
1709308528.6362 1 % No Line
1709308528.6406 1 % No Line
1709308528.6451 1 % No Line
1709308528.6492 1 % No Line
1709308528.6535 1 % No Line
1709308528.6577 1 % No Line
1709308528.6618 1 % No Line
1709308528.6659 1 % No Line
1709308528.6701 1 % No Line
1709308528.6743 1 % No Line
1709308528.6784 1 % No Line
1709308528.6826 1 % No Line
1709308528.6867 1 % No Line
1709308528.6910 1 % No Line
1709308528.6951 1 % No Line
1709308528.6993 1 % No Line
1709308528.7034 1 % No Line
1709308528.7076 1 % No Line
1709308528.7117 1 % No Line
1709308528.7159 1 % No Line
1709308528.7200 1 % No Line
1709308528.7242 1 % No Line
1709308528.7283 1 % No Line
1709308528.7326 1 % No Line
1709308528.7367 1 % No Line
1709308528.7409 1 % No Line
1709308528.7450 1 % No Line
1709308528.7491 1 % No Line
1709308528.7533 1 % No Line
1709308528.7574 1 % No Line
1709308528.7616 1 % No Line
1709308528.7658 1 % No Line
1709308528.7700 1 % No Line
1709308528.7748 1 % No Line
1709308528.7790 1 % No Line
1709308528.7831 1 % No Line
1709308528.7873 1 % No Line
1709308528.7915 1 % No Line
1709308528.7956 1 % No Line
1709308528.7997 1 % No Line
1709308528.8038 1 % No Line
1709308528.8080 1 % No Line
1709308528.8125 1 % No Line
1709308528.8166 1 % No Line
1709308528.8207 1 % No Line
1709308528.8249 1 % No Line
1709308528.8290 1 % No Line
1709308528.8331 1 % No Line
1709308528.8373 1 % No Line
1709308528.8414 1 % No Line
1709308528.8455 1 % No Line
1709308528.8497 1 % No Line
1709308528.8543 1 % No Line
1709308528.8584 1 % No Line
1709308528.8625 1 % No Line
1709308528.8666 1 % No Line
1709308528.8707 1 % No Line
1709308528.8749 1 % No Line
1709308528.8790 1 % No Line
1709308528.8831 1 % No Line
1709308528.8873 1 % No Line
1709308528.8914 1 % No Line
1709308528.8960 1 % No Line
1709308528.9001 1 % No Line
1709308528.9042 1 % No Line
1709308528.9083 1 % No Line
1709308528.9125 1 % No Line
1709308528.9166 1 % No Line
1709308528.9207 1 % No Line
1709308528.9248 1 % No Line
1709308528.9290 1 % No Line
1709308528.9335 1 % No Line
1709308528.9376 1 % No Line
1709308528.9418 1 % No Line
1709308528.9459 1 % No Line
1709308528.9500 1 % No Line
1709308528.9542 1 % No Line
1709308528.9583 1 % No Line
1709308528.9624 1 % No Line
1709308528.9665 1 % No Line
1709308528.9708 1 % No Line
1709308528.9756 1 % No Line
1709308528.9802 1 % No Line
1709308528.9845 1 % No Line
1709308528.9894 1 % No Line
1709308528.9939 1 % No Line
1709308528.9981 1 % No Line
1709308529.0022 1 % No Line
1709308529.0063 1 % No Line
1709308529.0104 1 % No Line
1709308529.0146 1 % No Line
1709308529.0188 1 % No Line
1709308529.0232 1 % No Line
1709308529.0274 1 % No Line
1709308529.0318 1 % No Line
1709308529.0360 1 % No Line
1709308529.0404 1 % No Line
1709308529.0450 1 % No Line
1709308529.0493 1 % No Line
1709308529.0536 1 % No Line
1709308529.0580 1 % No Line
1709308529.0623 1 % No Line
1709308529.0666 1 % No Line
1709308529.0711 1 % No Line
1709308529.0754 1 % No Line
1709308529.0799 1 % No Line
1709308529.0843 1 % No Line
1709308529.0886 1 % No Line
1709308529.0930 1 % No Line
1709308529.0973 1 % No Line
1709308529.1017 1 % No Line
1709308529.1067 1 % No Line
1709308529.1110 1 % No Line
1709308529.1153 1 % No Line
1709308529.1194 1 % No Line
1709308529.1236 1 % No Line
1709308529.1277 1 % No Line
1709308529.1318 1 % No Line
1709308529.1359 1 % No Line
1709308529.1401 1 % No Line
1709308529.1443 1 % No Line
1709308529.1484 1 % No Line
1709308529.1525 1 % No Line
1709308529.1566 1 % No Line
1709308529.1608 1 % No Line
1709308529.1649 1 % No Line
1709308529.1690 1 % No Line
1709308529.1732 1 % No Line
1709308529.1773 1 % No Line
1709308529.1815 1 % No Line
1709308529.1856 1 % No Line
1709308529.1897 1 % No Line
1709308529.1938 1 % No Line
1709308529.1980 1 % No Line
1709308529.2021 1 % No Line
1709308529.2062 1 % No Line
1709308529.2103 1 % No Line
1709308529.2145 1 % No Line
1709308529.2186 1 % No Line
1709308529.2228 1 % No Line
1709308529.2269 1 % No Line
1709308529.2310 1 % No Line
1709308529.2352 1 % No Line
1709308529.2393 1 % No Line
1709308529.2434 1 % No Line
1709308529.2475 1 % No Line
1709308529.2516 1 % No Line
1709308529.2558 1 % No Line
1709308529.2600 1 % No Line
1709308529.2641 1 % No Line
1709308529.2682 1 % No Line
1709308529.2723 1 % No Line
1709308529.2764 1 % No Line
1709308529.2806 1 % No Line
1709308529.2847 1 % No Line
1709308529.2888 1 % No Line
1709308529.2929 1 % No Line
1709308529.2970 1 % No Line
1709308529.3013 1 % No Line
1709308529.3054 1 % No Line
1709308529.3095 1 % No Line
1709308529.3137 1 % No Line
1709308529.3178 1 % No Line
1709308529.3220 1 % No Line
1709308529.3261 1 % No Line
1709308529.3302 1 % No Line
1709308529.3344 1 % No Line
1709308529.3385 1 % No Line
1709308529.3430 1 % No Line
1709308529.3473 1 % No Line
1709308529.3516 1 % No Line
1709308529.3565 1 % No Line
1709308529.3608 1 % No Line
1709308529.3651 1 % No Line
1709308529.3694 1 % No Line
1709308529.3736 1 % No Line
1709308529.3777 1 % No Line
1709308529.3820 1 % No Line
1709308529.3862 1 % No Line
1709308529.3904 1 % No Line
1709308529.3948 1 % No Line
1709308529.3990 1 % No Line
1709308529.4034 1 % No Line
1709308529.4076 1 % No Line
1709308529.4118 1 % No Line
1709308529.4160 1 % No Line
1709308529.4201 1 % No Line
1709308529.4244 1 % No Line
1709308529.4285 1 % No Line
1709308529.4327 1 % No Line
1709308529.4368 1 % No Line
1709308529.4410 1 % No Line
1709308529.4451 1 % No Line
1709308529.4493 1 % No Line
1709308529.4535 1 % No Line
1709308529.4577 1 % No Line
1709308529.4618 1 % No Line
1709308529.4661 1 % No Line
1709308529.4703 1 % No Line
1709308529.4744 1 % No Line
1709308529.4785 1 % No Line
1709308529.4827 1 % No Line
1709308529.4868 1 % No Line
1709308529.4910 1 % No Line
1709308529.4951 1 % No Line
1709308529.4993 1 % No Line
1709308529.5035 1 % No Line
1709308529.5076 1 % No Line
1709308529.5118 1 % No Line
1709308529.5159 1 % No Line
1709308529.5201 1 % No Line
1709308529.5242 1 % No Line
1709308529.5283 1 % No Line
1709308529.5325 1 % No Line
1709308529.5366 1 % No Line
1709308529.5408 1 % No Line
1709308529.5450 1 % No Line
1709308529.5492 1 % No Line
1709308529.5533 1 % No Line
1709308529.5575 1 % No Line
1709308529.5616 1 % No Line
1709308529.5658 1 % No Line
1709308529.5700 1 % No Line
1709308529.5741 1 % No Line
1709308529.5783 1 % No Line
1709308529.5824 1 % No Line
1709308529.5866 1 % No Line
1709308529.5908 1 % No Line
1709308529.5949 1 % No Line
1709308529.5991 1 % No Line
1709308529.6033 1 % No Line
1709308529.6074 1 % No Line
1709308529.6116 1 % No Line
1709308529.6157 1 % No Line
1709308529.6199 1 % No Line
1709308529.6240 1 % No Line
1709308529.6282 1 % No Line
1709308529.6323 1 % No Line
1709308529.6365 1 % No Line
1709308529.6406 1 % No Line
1709308529.6448 1 % No Line
1709308529.6489 1 % No Line
1709308529.6530 1 % No Line
1709308529.6572 1 % No Line
1709308529.6613 1 % No Line
1709308529.6656 1 % No Line
1709308529.6697 1 % No Line
1709308529.6739 1 % No Line
1709308529.6781 1 % No Line
1709308529.6822 1 % No Line
1709308529.6864 1 % No Line
1709308529.6906 1 % No Line
1709308529.6948 1 % No Line
1709308529.6991 1 % No Line
1709308529.7035 1 % No Line
1709308529.7081 1 % No Line
1709308529.7124 1 % No Line
1709308529.7167 1 % No Line
1709308529.7210 1 % No Line
1709308529.7253 1 % No Line
1709308529.7297 1 % No Line
1709308529.7342 1 % No Line
1709308529.7385 1 % No Line
1709308529.7430 1 % No Line
1709308529.7475 1 % No Line
1709308529.7520 1 % No Line
1709308529.7563 1 % No Line
1709308529.7606 1 % No Line
1709308529.7650 1 % No Line
1709308529.7693 1 % No Line
1709308529.7737 1 % No Line
1709308529.7787 1 % No Line
1709308529.7831 1 % No Line
1709308529.7875 1 % No Line
1709308529.7917 1 % No Line
1709308529.7959 1 % No Line
1709308529.8000 1 % No Line
1709308529.8041 1 % No Line
1709308529.8083 1 % No Line
1709308529.8124 1 % No Line
1709308529.8165 1 % No Line
1709308529.8207 1 % No Line
1709308529.8248 1 % No Line
1709308529.8291 1 % No Line
1709308529.8332 1 % No Line
1709308529.8374 1 % No Line
1709308529.8415 1 % No Line
1709308529.8457 1 % No Line
1709308529.8499 1 % No Line
1709308529.8541 1 % No Line
1709308529.8582 1 % No Line
1709308529.8624 1 % No Line
1709308529.8665 1 % No Line
1709308529.8707 1 % No Line
1709308529.8749 1 % No Line
1709308529.8790 1 % No Line
1709308529.8832 1 % No Line
1709308529.8874 1 % No Line
1709308529.8918 1 % No Line
1709308529.8962 1 % No Line
1709308529.9007 1 % No Line
1709308529.9053 1 % No Line
1709308529.9099 1 % No Line
1709308529.9141 1 % No Line
1709308529.9183 1 % No Line
1709308529.9224 1 % No Line
1709308529.9265 1 % No Line
1709308529.9307 1 % No Line
1709308529.9348 1 % No Line
1709308529.9389 1 % No Line
1709308529.9430 1 % No Line
1709308529.9472 1 % No Line
1709308529.9515 1 % No Line
1709308529.9556 1 % No Line
1709308529.9597 1 % No Line
1709308529.9638 1 % No Line
1709308529.9680 1 % No Line
1709308529.9721 1 % No Line
1709308529.9762 1 % No Line
1709308529.9803 1 % No Line
1709308529.9845 1 % No Line
1709308529.9886 1 % No Line
1709308529.9928 1 % No Line
1709308529.9969 1 % No Line
1709308530.0011 1 % No Line
1709308530.0052 1 % No Line
1709308530.0093 1 % No Line
1709308530.0134 1 % No Line
1709308530.0176 1 % No Line
1709308530.0217 1 % No Line
1709308530.0258 1 % No Line
1709308530.0299 1 % No Line
1709308530.0342 1 % No Line
1709308530.0383 1 % No Line
1709308530.0424 1 % No Line
1709308530.0465 1 % No Line
1709308530.0507 1 % No Line
1709308530.0548 1 % No Line
1709308530.0589 1 % No Line
1709308530.0630 1 % No Line
1709308530.0672 1 % No Line
1709308530.0714 1 % No Line
1709308530.0756 1 % No Line
1709308530.0797 1 % No Line
1709308530.0838 1 % No Line
1709308530.0880 1 % No Line
1709308530.0921 1 % No Line
1709308530.0962 1 % No Line
1709308530.1003 1 % No Line
1709308530.1044 1 % No Line
1709308530.1086 1 % No Line
1709308530.1128 1 % No Line
1709308530.1169 1 % No Line
1709308530.1210 1 % No Line
1709308530.1251 1 % No Line
1709308530.1293 1 % No Line
1709308530.1334 1 % No Line
1709308530.1375 1 % No Line
1709308530.1416 1 % No Line
1709308530.1458 1 % No Line
1709308530.1499 1 % No Line
1709308530.1542 1 % No Line
1709308530.1583 1 % No Line
1709308530.1624 1 % No Line
1709308530.1666 1 % No Line
1709308530.1708 1 % No Line
1709308530.1750 1 % No Line
1709308530.1792 1 % No Line
1709308530.1836 1 % No Line
1709308530.1878 1 % No Line
1709308530.1921 1 % No Line
1709308530.1963 1 % No Line
1709308530.2017 1 % No Line
1709308530.2059 1 % No Line
1709308530.2105 1 % No Line
1709308530.2150 1 % No Line
1709308530.2200 1 % No Line
1709308530.2242 1 % No Line
1709308530.2285 1 % No Line
1709308530.2328 1 % No Line
1709308530.2371 1 % No Line
1709308530.2414 1 % No Line
1709308530.2456 1 % No Line
1709308530.2499 1 % No Line
1709308530.2542 1 % No Line
1709308530.2587 1 % No Line
1709308530.2637 1 % No Line
1709308530.2678 1 % No Line
1709308530.2720 1 % No Line
1709308530.2761 1 % No Line
1709308530.2803 1 % No Line
1709308530.2844 1 % No Line
1709308530.2885 1 % No Line
1709308530.2927 1 % No Line
1709308530.2968 1 % No Line
1709308530.3009 1 % No Line
1709308530.3050 1 % No Line
1709308530.3092 1 % No Line
1709308530.3133 1 % No Line
1709308530.3174 1 % No Line
1709308530.3216 1 % No Line
1709308530.3257 1 % No Line
1709308530.3300 1 % No Line
